text,label
"no thanks, i don't like free things",1
"i don't feel lucky",1
"i don't want to save money",1
"no, i'll rather pay full price",1
"no thanks, i'll pay full price",1
"i'll shop without a discount",1
"no thanks, i don't mind missing out",1
"i do not want to protect my item",1
"no thanks, i definitely measured correctly",1
"before you check out, can we tempt you?",1
"no thanks, i don't want a discount",1
"no thanks, i don't like fun and games",1
"no thanks, i don't like exclusive deals",1
"no thanks, i'd like 0% off",1
"no thanks, i don't like promotions and exclusive content",1
"no thanks, i hate saving money",1
"no thanks, i'd rather not win",1
"no thanks, i hate cool stuff",1
"no thanks, i just want the item",1
"no thanks, i like full price",1
"no thanks, i don't want any deals",1
"no thanks, free stuff isn't for me",1
"no thanks, i don't want to build one, i'd rather kick rocks",1
"no thanks, i don't like getting free stuff",1
"no thanks, i prefer to pay for shipping",1
"no thanks, i'd rather do it the hard way",1
"no thanks, i despise coupons",1
"no thanks, i don't want to look my best",1
"are you sure you want to cancel your subscription?",0
"please confirm your cancellation request. you can always come back anytime.",0
"click below to cancel your subscription. are you sure?",0
"please confirm that you'd like to cancel your subscription.",0
"cancel",0
"are you sure you want to unsubscribe? you can always resubscribe later.",0
"you're about to unsubscribe. please confirm your decision.",0
"your subscription has been successfully canceled.",0
"you have unsubscribed from our service.",0
"your request to cancel has been processed.",0
"subscription cancellation completed.",0
"you will no longer be charged for this service.",0
"your membership has been terminated as requested.",0
"unsubscribe request received.",0
"your account has been downgraded.",0
"you have opted out of our subscription plan.",0
"cancellation confirmed.",0
"your subscription has been ended.",0
"you will not be billed for the next cycle.",0
"your recurring payments have been stopped.",0
"you have successfully opted out.",0
"subscription status: canceled.",0
"your auto-renewal has been turned off.",0
"the service has been deactivated.",0
"your cancellation has been recorded.",0
"you are no longer subscribed to this service.",0
"subscription successfully ended.",0
"your access will expire at the end of the billing period.",0
"cancellation request processed.",0
"your subscription settings have been updated.",0
"you have left the subscription program.",0
"unsubscription completed.",0
"the subscription has been removed from your account.",0
"your premium access has been revoked.",0
"your billing has been stopped.",0
"your user account is no longer subscribed.",0
"the service has been canceled per your request.",0
"membership has been deactivated.",0
"no further charges will be made.",0
"you have successfully left the program.",0
"subscription status: terminated.",0
"your subscription cancellation is now effective.",0
"you will no longer receive subscription benefits.",0
"this subscription will not renew.",0
"your membership plan has been closed.",0
"the account has been updated to reflect cancellation.",0
"your recurring subscription has ended.",0
"you have chosen to stop your subscription.",0
"you have exited the subscription service.",0
"cancellation has been finalized.",0
"your payment plan has been discontinued.",0
"we have processed your unsubscribe request.",0
"the subscription period has ended.",0
"your opt-out request has been acknowledged.",0
"the cancellation process is complete.",0
"your account is no longer set to renew.",0
